arac_sayisi,alpha,talep_faktor,talep_sok_pct,dispatch_kural,n_modu,starv_pct,starv_dk,ort_wip,sefer_sayisi,mesafe_km
5,0.1,0.8,-20,SLACK,Dinamik_N,8.5,979,220.8,68,49.38
6,0.1,0.8,-20,SLACK,Dinamik_N,4.66,537,225.9,99,49.13
7,0.1,0.8,-20,SLACK,Dinamik_N,3.41,393,228.8,111,49.06
8,0.1,0.8,-20,SLACK,Dinamik_N,2.67,308,229.8,117,49.14
1,0.15,0.8,-20,SLACK,Dinamik_N,63.65,7333,80.8,8,12.72
2,0.15,0.8,-20,SLACK,Dinamik_N,44.17,5088,124.9,16,25.56
3,0.15,0.8,-20,SLACK,Dinamik_N,26.94,3104,168.3,24,38.28
4,0.15,0.8,-20,SLACK,Dinamik_N,13.17,1517,206.3,32,47.37
5,0.15,0.8,-20,SLACK,Dinamik_N,9.62,1108,219.8,67,50.37
6,0.15,0.8,-20,SLACK,Dinamik_N,4.74,546,227.5,100,48.35
7,0.15,0.8,-20,SLACK,Dinamik_N,2.12,244,230.9,117,48.67
8,0.15,0.8,-20,SLACK,Dinamik_N,1.62,187,231.1,124,47.98
1,0.2,0.8,-20,SLACK,Dinamik_N,63.63,7330,81.0,8,12.78
2,0.2,0.8,-20,SLACK,Dinamik_N,44.04,5073,125.1,16,25.67
3,0.2,0.8,-20,SLACK,Dinamik_N,26.88,3097,168.2,24,38.3
4,0.2,0.8,-20,SLACK,Dinamik_N,13.96,1608,204.4,33,46.83
5,0.2,0.8,-20,SLACK,Dinamik_N,9.05,1043,221.0,67,51.0
6,0.2,0.8,-20,SLACK,Dinamik_N,5.1,588,226.4,96,51.21
7,0.2,0.8,-20,SLACK,Dinamik_N,2.5,288,230.2,118,50.17
8,0.2,0.8,-20,SLACK,Dinamik_N,1.56,180,230.9,126,49.55
1,0.25,0.8,-20,SLACK,Dinamik_N,63.61,7328,81.1,8,12.69
2,0.25,0.8,-20,SLACK,Dinamik_N,44.09,5079,125.2,16,26.27
3,0.25,0.8,-20,SLACK,Dinamik_N,26.5,3053,168.5,24,39.57
4,0.25,0.8,-20,SLACK,Dinamik_N,11.66,1343,209.0,33,48.63
5,0.25,0.8,-20,SLACK,Dinamik_N,9.13,1052,221.4,68,51.17
6,0.25,0.8,-20,SLACK,Dinamik_N,5.1,587,226.6,97,49.97
7,0.25,0.8,-20,SLACK,Dinamik_N,3.06,352,229.2,117,49.73
8,0.25,0.8,-20,SLACK,Dinamik_N,2.53,291,229.4,124,49.29
1,0.3,0.8,-20,SLACK,Dinamik_N,63.56,7322,81.1,8,13.0
2,0.3,0.8,-20,SLACK,Dinamik_N,44.06,5076,125.4,16,26.07
3,0.3,0.8,-20,SLACK,Dinamik_N,27.07,3119,168.5,24,39.09
4,0.3,0.8,-20,SLACK,Dinamik_N,11.71,1349,208.4,33,48.82
5,0.3,0.8,-20,SLACK,Dinamik_N,8.99,1036,220.9,65,50.88
6,0.3,0.8,-20,SLACK,Dinamik_N,4.49,517,228.2,95,50.51
7,0.3,0.8,-20,SLACK,Dinamik_N,3.1,357,229.8,111,50.11
8,0.3,0.8,-20,SLACK,Dinamik_N,2.34,269,230.3,121,49.85
1,0.05,0.9,-10,SLACK,Dinamik_N,67.36,7760,72.2,8,13.01
2,0.05,0.9,-10,SLACK,Dinamik_N,49.64,5719,111.9,16,26.21
3,0.05,0.9,-10,SLACK,Dinamik_N,33.36,3843,151.1,24,39.15
4,0.05,0.9,-10,SLACK,Dinamik_N,18.81,2167,188.5,32,50.77
5,0.05,0.9,-10,SLACK,Dinamik_N,13.56,1562,211.1,52,56.24
6,0.05,0.9,-10,SLACK,Dinamik_N,9.11,1050,218.7,83,54.61
7,0.05,0.9,-10,SLACK,Dinamik_N,4.46,514,224.7,111,54.08
8,0.05,0.9,-10,SLACK,Dinamik_N,3.39,391,225.8,125,53.76
1,0.1,0.9,-10,SLACK,Dinamik_N,67.32,7755,72.3,8,13.11
2,0.1,0.9,-10,SLACK,Dinamik_N,49.61,5715,112.3,16,26.04
3,0.1,0.9,-10,SLACK,Dinamik_N,33.4,3848,151.4,24,39.27
4,0.1,0.9,-10,SLACK,Dinamik_N,20.36,2345,186.2,33,50.97
5,0.1,0.9,-10,SLACK,Dinamik_N,12.53,1444,210.9,54,58.97
6,0.1,0.9,-10,SLACK,Dinamik_N,7.54,869,221.3,94,56.52
7,0.1,0.9,-10,SLACK,Dinamik_N,4.31,497,224.7,120,54.71
8,0.1,0.9,-10,SLACK,Dinamik_N,3.59,414,225.3,128,54.11
1,0.15,0.9,-10,SLACK,Dinamik_N,67.3,7753,72.4,8,12.89
2,0.15,0.9,-10,SLACK,Dinamik_N,49.59,5713,112.3,16,26.12
3,0.15,0.9,-10,SLACK,Dinamik_N,33.62,3873,151.2,24,39.93
4,0.15,0.9,-10,SLACK,Dinamik_N,18.85,2171,188.1,32,49.31
5,0.15,0.9,-10,SLACK,Dinamik_N,13.24,1525,210.3,52,54.32
6,0.15,0.9,-10,SLACK,Dinamik_N,8.22,947,220.7,92,55.94
7,0.15,0.9,-10,SLACK,Dinamik_N,4.12,475,226.3,117,54.86
8,0.15,0.9,-10,SLACK,Dinamik_N,3.2,369,226.0,132,54.48
1,0.2,0.9,-10,SLACK,Dinamik_N,67.32,7755,72.5,8,12.69
2,0.2,0.9,-10,SLACK,Dinamik_N,49.52,5705,112.3,16,25.47
3,0.2,0.9,-10,SLACK,Dinamik_N,33.5,3859,151.8,24,39.13
4,0.2,0.9,-10,SLACK,Dinamik_N,18.98,2187,188.2,32,48.25
5,0.2,0.9,-10,SLACK,Dinamik_N,11.16,1286,213.1,53,56.52
6,0.2,0.9,-10,SLACK,Dinamik_N,8.32,958,220.3,91,54.77
7,0.2,0.9,-10,SLACK,Dinamik_N,4.9,565,225.1,119,55.02
8,0.2,0.9,-10,SLACK,Dinamik_N,2.7,311,227.1,135,53.62
1,0.25,0.9,-10,SLACK,Dinamik_N,66.32,7640,79.1,8,13.29
2,0.25,0.9,-10,SLACK,Dinamik_N,48.39,5574,122.3,16,25.54
3,0.25,0.9,-10,SLACK,Dinamik_N,31.99,3685,163.2,24,36.62
4,0.25,0.9,-10,SLACK,Dinamik_N,18.15,2091,201.7,33,49.83
5,0.25,0.9,-10,SLACK,Dinamik_N,11.01,1268,224.8,56,52.51
6,0.25,0.9,-10,SLACK,Dinamik_N,7.66,882,233.0,94,54.59
7,0.25,0.9,-10,SLACK,Dinamik_N,3.87,446,237.8,118,52.49
8,0.25,0.9,-10,SLACK,Dinamik_N,2.88,332,238.2,130,53.12
